pid	genus	hybrid	author	year	seed	pollen
7022#7022	NEOREGELIA	Seventh Heaven	Freeman, A., Golinski, K.*	1994	'Two Tone'	'Painted Lady'
7023#7023	NEOREGELIA	Seville	Elmore J	ca 1979	'Two Tone'	'Painted Lady'
7024#7024	NEOREGELIA	Sexy Pink	Paterson, M.	2001	King's Ransom	Gold Fever
11928#11928	NEOREGELIA	Seychelles	Vinzant, Lisa	2006	Momona	Big Mac
7025#7025	NEOREGELIA	Shaboom	Goode, G., Voigt, T.*	?	'Black Olive'	'True Love'
7026#7026	NEOREGELIA	Shades Of Autumn	Carrone, J.	1975	Tops	olens 'Marie'
7027#7027	NEOREGELIA	Shadow	Freeman, A., Golinski, K.*	1994	'Narelle' #1	cruenta 'Broadleaf'
7028#7028	NEOREGELIA	Shadow Warrior	?	?	'Narelle' #1	cruenta 'Broadleaf'
7029#7029	NEOREGELIA	Shadowlawn	Peterson, Ed	<1979	'Narelle' #1	Meyendorffii
7030#7030	NEOREGELIA	Shady Lady	Freeman, A., Golinski, K.*	1994	'Two Tone'	'Painted Lady'
10806#10806	NEOREGELIA	Shady Red	Paterson M	2002	Big Mac	Walking Tall
7031#7031	NEOREGELIA	Shady Rest	Freeman, A., Golinski, K.*	1995	concentrica	?
13332#13332	NEOREGELIA	Shaggy Waggy	Seabreeze Nursery/ Alex Bello*	2010	Big O	Rafael
16341#16341	NEOREGELIA	Shalimar	Vinzant, Lisa	2008	Groves's Tangerine	Skotak's Tiger
7032#7032	NEOREGELIA	Shamrock	Hendrix, G., (Johnson, C.*)	1988	'Bob Read' x 'Granada'	pauciflora
7033#7033	NEOREGELIA	Shanghai	Elmore, J. (#1258)	1977	Fairy Paint	carolinae
7034#7034	NEOREGELIA	Shangri-La	Elmore, J. (#1269)	1977	melanodonta	Frase Pink Hyb. #160
7036#7036	NEOREGELIA	Shannon Elmore Melton	Elmore, J. (#1187)	1979	Lady Racine	Concentrica #1
7037#7037	NEOREGELIA	Share a Dream	Goode, G.	<1998	'Small World'	'Bob'
13065#13065	NEOREGELIA	Shark Attack	Skotak C / Cameron M & M*	?	(carolinae variegated x Hannibal Lecter) x Norman Bates	Skotak's Tiger
14346#14346	NEOREGELIA	Shark Attack Striated	? / G Lawn*		(carolinae variegated x Hannibal Lecter) x Norman Bates	Skotak's Tiger
7038#7038	NEOREGELIA	Shark Bait	Pearce, J.	2003	'Milagro'	carcharodon 'Tiger'
14434#14434	NEOREGELIA	Shark Blend	Tristram P	2013	Sharkicelli	Transfusion
13330#13330	NEOREGELIA	Shark Fest	Barclay G	2011	Roseo Lineata	Rainbow Carcharodon
14891#14891	NEOREGELIA	Shark Fever	Barclay, Graeme	2011	Roseo Lineata	Skotak's Tiger
15474#15474	NEOREGELIA	Shark Lines	Barclay, Graeme	2011	Roseo Lineata	Rainbow Carcharodon
11321#11321	NEOREGELIA	Shark Noodles	Skotak C, Tristram P*	2005	carolinae x Silver	Silver
15737#15737	NEOREGELIA	Shark on Ice	Van Wijk, Christo	circa 2013	Baby Skotak	Silver
15315#15315	NEOREGELIA	Shark Star	Tristram, Peter	2010	Silver Shark	?
15368#15368	NEOREGELIA	Shark Surprise	Tristram, Peter	2014	Black Opal	?
13943#13943	NEOREGELIA	Shark Tune	Tristram P	2011	Sharkicelli	MacTunis
15720#15720	NEOREGELIA	Sharkadactyl	Tristram, Peter	2013	Sharkicelli	dactyloflammans
10965#10965	NEOREGELIA	Sharkicelli	Skotak C, Tristram P*	2005	carolinae x Silver	Silver
11322#11322	NEOREGELIA	Sharkula	Skotak C, Tristram P*	2005	carolinae x Silver	Silver
7039#7039	NEOREGELIA	Sharlock	Yamamoto	<1982	carolinae x Silver	Silver
7040#7040	NEOREGELIA	Sharon	Freeman, A., Goode, G.*	?	carolinae x Silver	Silver
14927#14927	NEOREGELIA	Sharon Needles	Van Wijk, Christo	2013	[(carolinae variegated x johannis) x Bobbie Hull]	Silver Tiger
7041#7041	NEOREGELIA	Sharon's Beachcomber	Petersen, Sharon	1995	'Claret'	'Kahala Dawn'
7042#7042	NEOREGELIA	Sharon's Delight	Kellett, M., Treloar, W.*	1980	farinosa	wurdackii?
