pid	genus	hybrid	author	year	seed	pollen
1#1	AECHMEA	A l'Orange	Stansfield G*	?		recurvata
13288#13288	AECHMEA	Abbey Road	Vinzant  L	circa 2005	chantinii	zebrina
2#2	AECHMEA	Adolph's White	?	?	chantinii	zebrina
3#3	AECHMEA	Adonis	Przetocki V*	ca.1980	chantinii	zebrina
4#4	AECHMEA	Ala Nigra	Hummel	<1970	chantinii	zebrina
5#5	AECHMEA	Alaya	n/a	?	chantinii	zebrina
14147#14147	AECHMEA	Albo-vittata	? / Butcher Derek*	circa ?	chantinii	zebrina
6#6	AECHMEA	Albright Red	n/a	?	chantinii	zebrina
7#7	AECHMEA	Alegria	? / Bullis*	?	chantinii	zebrina
13499#13499	AECHMEA	Alice Springs	Skotak C	1998	aquilega	aquilega
8#8	AECHMEA	Altmanii		<1979	aquilega	aquilega
9#9	AECHMEA	Alvarez	n/a	<1978	lueddemanniana	aquilega
11806#11806	AECHMEA	Alvin	Catlan, John	2008	blanchetiana "red"	blanchetiana "red"
10#10	AECHMEA	Amazonense	(Moore, L.+*)	<1963	blanchetiana "red"	chantinii
11#11	AECHMEA	Amazonia	n/a	<1979	chantinii	chantinii
13395#13395	AECHMEA	America	Bullis P	2005	chantinii	chantinii
12#12	AECHMEA	Amethyst	Baensch, U.	1990	'Blue Beauty'	smithiorum
13#13	AECHMEA	Ametista	Bromeliario Imperialis	?	recurvata	gamosepala
10004#10004	AECHMEA	Andromeda	K. Jacobsson	2006	Snow Flake	carvalhoi
14#14	AECHMEA	Angelica		<1979	Snow Flake	carvalhoi
15#15	AECHMEA	Angra Dos Reis		<1977	Snow Flake	carvalhoi
16#16	AECHMEA	Angulation	Mellica, J.	?	warasii	recurvata
17#17	AECHMEA	Ann Vincent	Vincent, A.	1972	calyculata	caudata
18#18	AECHMEA	Anonymous	Davis, R.	1972	calyculata	caudata
19#19	AECHMEA	Anton	Green M*	1994	haltonii	?
20#20	AECHMEA	Apocalypse Now	? / D Butcher*	1982	apocalyptica	?
13605#13605	AECHMEA	Apricot Torch	Wood, Neville	2007	recurvata	caudata
21#21	AECHMEA	Ares	Gulz (Hummel)	<1970	fulgens var.discolor	distichantha var. glaziovii
22#22	AECHMEA	Armed Spearpoint-Pipin	Hummel	<1976	fulgens var.discolor	distichantha var. glaziovii
23#23	AECHMEA	Arriba	Hummel	<1971	dealbata?	??
24#24	AECHMEA	Ash	Smythe, R.	?	'Forest Fire'	?
25#25	AECHMEA	Ash Blonde	Moore, L.*?	<1975	'Forest Fire'	chantinii
26#26	AECHMEA	Aton	(Gulz)	<1976	fasciata	chantinii
27#27	AECHMEA	Aurora	n/a	<1981	lueddemanniana	chantinii
28#28	AECHMEA	Auslese	n/a	<1980	fasciata	chantinii
14662#14662	AECHMEA	Aussie Maiden	Draper, Ross	2014	tessmannii x retusa	chantinii var. fuchsii
29#29	AECHMEA	Aussie Ruby	? / Derek Butcher*	<1990	seideliana?	?
30#30	AECHMEA	Avarua	McQueen, J.	1982	racinae	recurvata
31#31	AECHMEA	Aztec	Hummel	<1979	racinae	recurvata
32#32	AECHMEA	Aztec Gold	Catlan, N.	1981	racinae	recurvata
33#33	AECHMEA	Azur Nigra	Hummel	<1967	orlandiana?	recurvata
34#34	AECHMEA	Balboa		<1980	bromelifolia	recurvata
35#35	AECHMEA	Ballerina	Gawley, J.	<1983	lueddemanniana	recurvata
36#36	AECHMEA	Bandit	n/a	<1991	lueddemanniana	recurvata v. ortgiesii?
37#37	AECHMEA	Bastantha	Hummel	<1971	lueddemanniana	recurvata v. ortgiesii?
38#38	AECHMEA	Baton	Przetocki, V.	?	nudicaulis 'Albomarginate'	fasciata v. purpurea
39#39	AECHMEA	Beads Of Coral	Goode	1974	Royal Wine	coelestis
13289#13289	AECHMEA	Beatlejuice	Vinzant  L	circa 2005	chantinii	zebrina
40#40	AECHMEA	Belizia	Hummel	<1979	orlandiana	fulgens v. discolor
41#41	AECHMEA	Benny	Hummel	<1976	orlandiana	recurvata v. benrathii?
42#42	AECHMEA	Bert	Foster, M.B.	1945	orlandiana	fosteriana
43#43	AECHMEA	Berticaulis	Williams, K.	1969	Bert	nudicaulis
15826#15826	AECHMEA	Best Black	Skotak, Chester	circa 1990	chantinii	chantinii
44#44	AECHMEA	Betty Pfeuffer	F-J Pfeuffer	1997	recurvata var. recurvata	victoriana var. discolor
45#45	AECHMEA	Bi-Color	Hummel	<1979	recurvata var. recurvata	victoriana var. discolor
15869#15869	AECHMEA	Big Bang	Skotak, Chester / Eloise Beach*	2002	nidularioides	nidularioides
46#46	AECHMEA	Big Beauty	Hick M*	1980\'s	nidularioides	recurvata var. benrathii
47#47	AECHMEA	Big Ben	Goode, G.	1980\'s	nidularioides	recurvata var. benrathii
48#48	AECHMEA	Big Cheese	Hummel	<1984	nidularioides	recurvata var. benrathii
49#49	AECHMEA	Big Harv	(Bullis*)	<1995	eurycorymbus	recurvata var. benrathii
50#50	AECHMEA	Big John	(Anderson, J.), Baskerville*	<1985	eurycorymbus	nudicaulis v. aequalis
51#51	AECHMEA	Big Mama Fasciata	Hill, H.*?	<1996	eurycorymbus	fasciata
52#52	AECHMEA	Big Mama Recurvata	?	<1983	eurycorymbus	recurvata var. ortgiesii
10709#10709	AECHMEA	Big Matchsticks	Lawn G*	?	gamosepala	recurvata var. ortgiesii
10672#10672	AECHMEA	Big Pinkie	Little R*	?	gamosepala	recurvata var. ortgiesii
53#53	AECHMEA	Big Red	Smythe, R.*	?	'Forest Fire'	?
54#54	AECHMEA	Big Stuff	Hummel	<1970	'Forest Fire'	?
55#55	AECHMEA	Bill Barrett	Hummel (Aerial Gardens*)	<1976	ramosa	chantinii
56#56	AECHMEA	Bill Hobbs	Davis, R.	1966	chantinii	dealbata
57#57	AECHMEA	Bill's Folly	Butcher, D.*	?	'Julian Nally'	?
58#58	AECHMEA	Bill's Pants	Hummel	<1980	'Julian Nally'	?
59#59	AECHMEA	Bittersweet	Kent, J.	<1979	orlandiana	dichlamydea v. trinitensis x weilbachii
60#60	AECHMEA	Black	(Bullis*)	<1980	orlandiana	chantinii
61#61	AECHMEA	Black Bands	?	ca 1999	orlandiana	chantinii
62#62	AECHMEA	Black Beauty	Baensch U	<1994	orlandiana	orlandiana
63#63	AECHMEA	Black Ebony	n/a	?	orlandiana	orlandiana
64#64	AECHMEA	Black Flamingo	Hummel	<1976	orlandiana	orlandiana
65#65	AECHMEA	Black Goddess	n/a	?	orlandiana	chantinii
66#66	AECHMEA	Black Ice	n/a	?	orlandiana	chantinii
67#67	AECHMEA	Black Jack	Foster, M.	<1971	racinae	victoriana v. discolor
68#68	AECHMEA	Black Knight	Hummel	<1982	racinae	victoriana v. discolor
15384#15384	AECHMEA	Black Magic Woman	Jacobsson, Kent	2015	Black Beauty	fosteriana
71#71	AECHMEA	Black Marble	Frase	1959	orlandiana-'Bert'-fosteriana	fosteriana
11163#11163	AECHMEA	Black Olive			orlandiana-'Bert'-fosteriana	fosteriana
72#72	AECHMEA	Black On Black	Anderson, J.	1988	victoriana v. discolor	recurvata (red form)
14439#14439	AECHMEA	Black Opal	Przetocki V	1983	Foster's Favorite	recurvata var. recurvata
73#73	AECHMEA	Black Panther	Hummel	<1970	Foster's Favorite	recurvata var. recurvata
74#74	AECHMEA	Black Prince	Hummel	<1970	fulgens v. discolor	chantinii
75#75	AECHMEA	Black Tiger	Hummel	<1976	fulgens v. discolor	chantinii
10418#10418	AECHMEA	Black Warrior	Jacobsson K	2008	Stripe on Stripes	?
12867#12867	AECHMEA	Black Yasi	Draper R	2009	blanchetiana (dark orange leaf form)	Malva
11784#11784	AECHMEA	Black Zombie	Cameron, Mal	2011	blanchetiana (dark orange leaf form)	Malva
76#76	AECHMEA	Blackie	n/a	<2000	blanchetiana (dark orange leaf form)	Malva
77#77	AECHMEA	Blanca Alvarez	n/a	<1980	lueddemanniana	Malva
10676#10676	AECHMEA	Blanchetiana Group			lueddemanniana	Malva
78#78	AECHMEA	Blazing Star		<1979	lueddemanniana	Malva
13376#13376	AECHMEA	Blood on the Ice	Birdbrom	circa 2012	Black Select	.?
79#79	AECHMEA	Blotches	n/a	<1981	Black Select	caudata
80#80	AECHMEA	Blue Beauty	Baensch, U.	1987	dichlamydea v. trinitensis	fendleri
81#81	AECHMEA	Blue Bonnet	?	<1995	recurvata	??
82#82	AECHMEA	Blue Cone	Ferris O	<1982	cylindrata	??
83#83	AECHMEA	Blue Coral	Maynard, T.*	?	cylindrata	??
84#84	AECHMEA	Blue Imp	Weckbacker, Bill	<1981	recurvata	gamosepala
85#85	AECHMEA	Blue Max	?	?	recurvata	gamosepala
86#86	AECHMEA	Blue Moon	Bullis, P.	<1992	fendleri hybrid	gamosepala
87#87	AECHMEA	Blue Nude	Butcher D*	1998	fendleri hybrid	gamosepala
88#88	AECHMEA	Blue Pacific	Allen, C., Stansfield, G.*	ca 1980's	recurvata	cylindrata
89#89	AECHMEA	Blue Rain	?	?	recurvata	cylindrata
90#90	AECHMEA	Blue Tango	Bullis P	1994	dichlamydea var. trinitensis	fendleri
91#91	AECHMEA	Blue Tips		<1976	dichlamydea var. trinitensis	caudata
92#92	AECHMEA	Blue Wheat	? / Derek Butcher*	<1985	dichlamydea var. trinitensis	caudata
10005#10005	AECHMEA	Bluetooth	Vinzant L	2000	Freckles?	recurvata v. benrathii
10433#10433	AECHMEA	Blush	?	circa 1980s	Freckles?	recurvata v. benrathii
12711#12711	AECHMEA	Bo-Pink	Hudson B	2007	chantinii	retusa ?
93#93	AECHMEA	Bob Alonzo	Cathcart, D.*	<2002	chantinii	ramosa
11184#11184	AECHMEA	Bonfire	Summers L	2008	chantinii	apocalyptica
94#94	AECHMEA	Bonita	Hummel	<1971	chantinii	apocalyptica
95#95	AECHMEA	Bonkers	Smythe R*	?	chantinii	blanchetiana
96#96	AECHMEA	Bonnie's Pearl	Singleton, B.*	?	chantinii	blanchetiana
16402#16402	AECHMEA	Bourbon	Przetocki, Vic	1994	Red Ribbon	Aztec Gold
97#97	AECHMEA	Brandy Wine	Hummel	<1984	Red Ribbon	Aztec Gold
11253#11253	AECHMEA	Brasilia	Oliveira R, Beach E*	circa 2006	ramosa var. festiva	Aztec Gold
98#98	AECHMEA	Brett Terrace	Franklin, P.	<1994	recurvata	caudata
99#99	AECHMEA	Bright Eyes	Hummel	<1970	recurvata	caudata
100#100	AECHMEA	Brillig	Johnson, G.	1978	maculata	bromeliifolia v. albobracteata
101#101	AECHMEA	Brimstone	Johnson, C.	1990	retusa	angustifolia
102#102	AECHMEA	Bronze Age	Baker, Bill	<1998	retusa	recurvata
10226#10226	AECHMEA	Brown Sugar	Jacobsson K.	2005	tessmannii	?
12850#12850	AECHMEA	Brown Under	? / Hudson B*	2005	chantinii (dark form )	?
12098#12098	AECHMEA	Brown Waves	Jacobsson K	2008	orlandiana	Black Beauty
11220#11220	AECHMEA	Buckwheat	Skotak C	2003	fendleri (dark form)	Blue Tango
216#216	AECHMEA	Bullis's Flamingo	(Bullis, P.)	<1996	fendleri (dark form)	tessmannii hybrid
103#103	AECHMEA	Burger	Smythe R*	?	fendleri (dark form)	blanchetiana
104#104	AECHMEA	Burgundy	Foster, M.B.	1959	distichantha var. schlumbergeri	weilbachii var. leodiensis
105#105	AECHMEA	Burning Bush	? / Bullis*	<1991	fulgens	ramosa
106#106	AECHMEA	Burning Stump	Smythe, R.*	?	'Forest Fire'	?
14288#14288	AECHMEA	Burnt Butter	Przetocki,  Vic	1988	apocalyptica	recurvata var. recurvata
107#107	AECHMEA	Burnt Torch	Butcher*	<1997	pineliana(?)	bromelifolia(?)
108#108	AECHMEA	By Golly	Wurthmann, E.	1965	victoriana v. discolor	orlandiana
109#109	AECHMEA	Cabeza Rojo	Hummel	<1976	victoriana v. discolor	orlandiana
110#110	AECHMEA	Cabriza	Hummel	<1970	victoriana v. discolor	orlandiana
111#111	AECHMEA	California Blue	?	<1984	victoriana v. discolor	orlandiana
10006#10006	AECHMEA	Callisto	K. Jacobsson	2006	tessmannii	callichroma
112#112	AECHMEA	Caloosa	Smith, Sam	1989	dichlamydea v. trinitensis x fendleri	tessmannii
113#113	AECHMEA	Camp Fire	Smythe, R.*	?	'Forest Fire'	?
114#114	AECHMEA	Can Can	?	?	'Forest Fire'	?
115#115	AECHMEA	Candid Terrace	Franklin, P.*	?	'Forest Fire'	?
12871#12871	AECHMEA	Candy Cane	Vinzant L	circa 1998	nudicaulis var. aequalis	Silver Streak Nudicaulis
116#116	AECHMEA	Candy Corn	Hummel	<1973	nudicaulis var. aequalis	Silver Streak Nudicaulis
117#117	AECHMEA	Candy Stripe	(Cole*)	<1976	racinae	victoriana v. discolor
14353#14353	AECHMEA	Cannibal	? / L Hudson*	<1978	bracteata	victoriana v. discolor
12887#12887	AECHMEA	Canvey Pink Surprise	Skotak C / Trevor O*	circa 1995	Sangria	fasciata (spineless)
13997#13997	AECHMEA	Capitata	? / Butcher D*	?	Sangria	fasciata (spineless)
14001#14001	AECHMEA	Capitata Albo	? / Butcher D*	?	Sangria	fasciata (spineless)
118#118	AECHMEA	Caprice	Johnson, Carol	1989	nidularioides (red form)	hoppii
119#119	AECHMEA	Cardinalis	Hummel*	<1962	nidularioides (red form)	recurvata
120#120	AECHMEA	Carioca	Bullis?	<1991	eurycorymbus	recurvata
12150#12150	AECHMEA	Caudata Group	n/a		eurycorymbus	recurvata
14645#14645	AECHMEA	Celestial Jewel	Giddins R	2015	Best Black	Best Black
14660#14660	AECHMEA	Celtic Chief	Draper R	2015	tessmannii (red form)	Pink Goddess
121#121	AECHMEA	Chantata	European Origin?	<1979	fasciata	chantinii
122#122	AECHMEA	Chantichantha	Hummel	<1976	distichantha	chantinii
123#123	AECHMEA	Chantifost	L. Ariza	1975	fosteriana	chantinii 'Pink Goddess'
124#124	AECHMEA	Chantinii Group	n/a	2004	fosteriana	chantinii 'Pink Goddess'
13534#13534	AECHMEA	Charcoal	? / E Beach*	<2000	orlandiana	orlandiana
9632#9632	AECHMEA	Chardonnay	V Przetocki	1992	organensis	recurvata
125#125	AECHMEA	Charles Hodgson	Hodgson, C.	1950	recurvata	fasciata
126#126	AECHMEA	Charlie	(Tropiflora*)?	<1980	recurvata	orlandiana
127#127	AECHMEA	Chas	? / Derek Butcher,.*	1990\'s	gamosepala	?
128#128	AECHMEA	Checkers	n/a	<1990	fasciata	?
129#129	AECHMEA	Checkmate	Jones,Tracy*	1980	fasciata	chantinii
130#130	AECHMEA	Cheerful	Hummel	<1970	fasciata	chantinii
131#131	AECHMEA	Cherokee	Hummel	<1976	fasciata	chantinii
132#132	AECHMEA	Cherokee Brave	Hummel	<1976	fasciata	chantinii
133#133	AECHMEA	Cherokee Maid	Hummel	<1979	fasciata	miniata
134#134	AECHMEA	Chianti	Hummel w/Frase	<1976	fasciata	miniata
135#135	AECHMEA	Chinook	Baker, Bill	<1998	fasciata	gamosepala
9633#9633	AECHMEA	Chiriqui Grande	D Cathcart*		fasciata	gamosepala
136#136	AECHMEA	Chocolate	Bullis H	<1984	chantinii 'Black'	tessmannii
13296#13296	AECHMEA	Chocolate and Vanilla	DeLeon N	circa 2006	chantinii	chantinii
137#137	AECHMEA	Chocolate Soldier	Hummel	<1976	chantinii	chantinii
138#138	AECHMEA	Christie March	Redding,E., March, C.*	1966	organensis	cylindrata
14218#14218	AECHMEA	Christo's Black Tiger	van Wijk, C	2014	Black Beauty	orlandiana "Pink"
139#139	AECHMEA	Cinnamon Twist	n/a	?	chantinii	orlandiana "Pink"
11961#11961	AECHMEA	Clara	?  / Deroose Plants *	?	chantinii	orlandiana "Pink"
140#140	AECHMEA	Cloudburst	Kent, J.	<1979	orlandiana	chantinii
141#141	AECHMEA	Club Maurice	Kellett M, Butcher D*	1998	fasciata	?comata
142#142	AECHMEA	Cobriza	Hummel	<1970	fasciata	?comata
143#143	AECHMEA	Cold Duck	Hummel	<1979	fasciata	?comata
10456#10456	AECHMEA	Cold Snap	Skotak, Chester	?	fasciata	?comata
144#144	AECHMEA	Colorado	Hummel	<1973	fasciata	?comata
145#145	AECHMEA	Comanche	Hummel	<1971	fasciata	?comata
146#146	AECHMEA	Compacta	Richter	1956	fasciata	fulgens v. discolor
147#147	AECHMEA	Con Mucho	Hummel	<1978	fasciata	fulgens v. discolor
148#148	AECHMEA	Concolor	Hummel	<1979	fasciata	fulgens v. discolor
14452#14452	AECHMEA	Cool Waters	Giddins R / M Giddins*	2015	Best Black	Roberto Menescal
149#149	AECHMEA	Coppertone	DeLeon? (Bullis)	<1992	lueddemanniana?	weilbachii?
150#150	AECHMEA	Coral Beads	Hummel	<1970	lueddemanniana?	weilbachii?
151#151	AECHMEA	Coral Beauty	Larnach R / Trevor, O.*	?	organensis	weilbachii?
152#152	AECHMEA	Coral Charm	Hummel	<1972	organensis	weilbachii?
12874#12874	AECHMEA	Correia  Yellow	? / Van Wijk C*	?	correia-araujoi ?	?
153#153	AECHMEA	Cosmic Starburst	Kent, J.	1977	fasciata	tessmannii
154#154	AECHMEA	Cougar	Hummel, Emory*?	<1975	Black Panther	tessmannii
155#155	AECHMEA	Covata	Hummel	<1963	comata	recurvata
156#156	AECHMEA	Covata Too	?Hummel, Butcher D*	>1982	comata	recurvata
11165#11165	AECHMEA	Cracker Night	Skotak C, Tate K*	circa 1989	biflora	nidularioides
10450#10450	AECHMEA	Cranberry Frost	Vinzant L	?	La Tigra	nudicaulis var. aequalis
157#157	AECHMEA	Crossbands	Butcher, D.*	?	bromeliifolia	nudicaulis var. aequalis
11791#11791	AECHMEA	Crouching Tiger	Przetocki V	1999	Red Bands	Red Bands
10510#10510	AECHMEA	Cynthia	Skotak C, Deroose Plants*	?	fasciata ?	?
158#158	AECHMEA	Dana J	?	<1984	chantinii	weilbachii
12892#12892	AECHMEA	Dance Marathon	? / Tate K*	<2000	Shelldancer	fendleri
159#159	AECHMEA	Dark Crystal	Przetocki, Vic	1983	'Foster's Favorite'	recurvata v. recurvata
160#160	AECHMEA	Dark DeLeon	n/a	?	chantinii	recurvata v. recurvata
161#161	AECHMEA	Dark Goddess	Moir, William & May	circa 1975	chantinii	recurvata v. recurvata
162#162	AECHMEA	Dart	Hummel	<1970	chantinii	recurvata v. recurvata
12091#12091	AECHMEA	Darth Vader	Koning J	1982	Black	chantinii forma amazonica
163#163	AECHMEA	David Barry	DeLeon, N.	<1968	ramosa	weilbachii v. leodiensis
164#164	AECHMEA	Dawson	Holmes	<1984	distichantha	??
165#165	AECHMEA	Decorum		<1979	distichantha	??
166#166	AECHMEA	Dee (Dee Dee?)	Hummel	<1978	distichantha	recurvata
167#167	AECHMEA	Dee Butt	Butt, L.	<1991	distichantha	recurvata
168#168	AECHMEA	Del Mar	?	?	dichlamydea?	recurvata
169#169	AECHMEA	DeLeon	(DeLeon*)	1986	fasciata	recurvata
11173#11173	AECHMEA	DeLeon's Chantinii	DeLeon N	<2000	chantinii	recurvata
170#170	AECHMEA	Dennis	Skotak, C.	<2000	tessmannii x chantinii	retusa x chantinii
171#171	AECHMEA	Dennis B.	Bryant, D. (Bullis*)	<1989	chantinii	fasciata
172#172	AECHMEA	Derek's Organensis Ha Ha	n/a	?	chantinii	fasciata
11172#11172	AECHMEA	Desiree	?	?	?	?
14454#14454	AECHMEA	Diablo's Mistress	Giddins R / M Giddins *	2014	Black Zombie	Black Zombie
173#173	AECHMEA	Distibachii	Davis, Tom	<1982	distichantha	weilbachii
10316#10316	AECHMEA	Dolores	McCrory*	ca 1990	distichantha	weilbachii
174#174	AECHMEA	Donna Marie	Wurthmann E ? / Bill Baker*		fasciata	recurvata
175#175	AECHMEA	Dosan		<1976	fasciata	recurvata
13263#13263	AECHMEA	Dragon's Blood	Devonshire A	2007	fasciata	nudicaulis var. aequalis
176#176	AECHMEA	Dubiosa	Davis, R.	<1972	fasciata	nudicaulis var. aequalis
177#177	AECHMEA	Dubonet	Hummel	<1976	fasciata	nudicaulis var. aequalis
178#178	AECHMEA	Dwarf	Foster, B./Groves, G.	1984	fasciata	chantinii
179#179	AECHMEA	Early Bird	n/a	?	fasciata	chantinii
180#180	AECHMEA	Ebony Glow	Hummel	<1979	fasciata	chantinii
181#181	AECHMEA	Echidna	Williams J*	<2000	recurvata	chantinii
12977#12977	AECHMEA	Eclipse	Przetocki V	1992	organensis	recurvata var. recurvata
15262#15262	AECHMEA	Ecuador	? / Hermann Prinsler*	1973	organensis	recurvata var. recurvata
182#182	AECHMEA	Ed Hummel	Hummel	<1980	organensis	recurvata var. recurvata
183#183	AECHMEA	Eileen	DeLeon	1988	serrata x fasciata	serrata
184#184	AECHMEA	El Dorado	Davis, Tom*	<1985	serrata x fasciata	chantinii?
185#185	AECHMEA	El Morro	DeLeon*?	?	angustifolia	chantinii?
12022#12022	AECHMEA	Electric Light	Przetocki V	1988	chantinii (dark form)	fasciata var. purpurea
186#186	AECHMEA	Electrica (Electra)	Hummel	<1970	chantinii (dark form)	dealbata
187#187	AECHMEA	Electrica Red Line	? / Lawn G*	2001	chantinii (dark form)	dealbata
11746#11746	AECHMEA	Enoldo	Oldano G / Hudson L*	<2005	Aechmea zebrina	dealbata
188#188	AECHMEA	Ensign	(Ensign, E.W.*)	1960	orlandiana	dealbata
189#189	AECHMEA	Espirito Santo	Dorr, K.+	<1974	ramosa	dealbata
14663#14663	AECHMEA	Eureka	Draper R	2014	tessmannii x retusa	Pink Goddess
10447#10447	AECHMEA	Excelsior	? / Arcos D*	circa 1970	recurvata ?	?
190#190	AECHMEA	Exotica	Richter	1957	Maginali	racinae
10274#10274	AECHMEA	Exotica Candy	? / Steens A*		Maginali	gamosepala ?
10275#10275	AECHMEA	Exotica Candy Stripes	Steens A.	2003	Maginali	N/A
191#191	AECHMEA	Exotica Greenback	Steens A*	?	Maginali	gamosepala
192#192	AECHMEA	Exotica Mystique	Steens A	?	lueddemanniana	aquilega
11259#11259	AECHMEA	Falkland	Skotak C	1996	aquilega	aquilega
193#193	AECHMEA	Fantasia	Bullis Bromeliads	<1996	tessmannii hybrid	aquilega
11222#11222	AECHMEA	Fantasma	Skotak C, Beach E *	2001	flavorosea x (flavorosea x fasciata "spineless")	{(flavorosea x fasciata "lavender") mini x (fasciata "red" x fasciata "spineless")} x fasciata  "Vanick # 2"
13396#13396	AECHMEA	Fantasy	Bullis P	2003	flavorosea x (flavorosea x fasciata "spineless")	{(flavorosea x fasciata "lavender") mini x (fasciata "red" x fasciata "spineless")} x fasciata  "Vanick # 2"
14146#14146	AECHMEA	Fasciata Group	Butcher Derek*		flavorosea x (flavorosea x fasciata "spineless")	{(flavorosea x fasciata "lavender") mini x (fasciata "red" x fasciata "spineless")} x fasciata  "Vanick # 2"
194#194	AECHMEA	Fascicaulis	DeLeon?	<1984	fasciata?	nudicaulis?
195#195	AECHMEA	Fascidata	?	?	fasciata	caudata
196#196	AECHMEA	Fascini	Williams, Kelsey.	1969	chantinii	fasciata
197#197	AECHMEA	Fatso	Smythe R*	?	chantinii	'Forest Fire'
198#198	AECHMEA	Favorite Red	Hummel	<1980	chantinii	'Forest Fire'
199#199	AECHMEA	Felice	European	circa 1990s	Fascini	'Forest Fire'
200#200	AECHMEA	Fernandae	(Baensch*)?	<1990	orlandiana?	??
201#201	AECHMEA	Festival	Buysse, F. (Exotic Plant*)	<1995	fulgens	araneosa
202#202	AECHMEA	Fia	Deroose, R.	<1990	fulgens v. discolor	chantinii
203#203	AECHMEA	Filip Van Onsem	Dutrie	1979	chantinii	fulgens v. discolor
204#204	AECHMEA	Fire	Tristram P*	?	chantinii	fulgens v. discolor
205#205	AECHMEA	Fire Ball	Hummel	<1970	fulgens v. discolor?	weilbachii v. leodiensis?
10137#10137	AECHMEA	Fire Bright	Smythe R*	?	fulgens v. discolor?	'Forest Fire'
206#206	AECHMEA	Fire Chief		<1976	fulgens v. discolor?	caudata
207#207	AECHMEA	Fire Dance	Hummel	<1970	fulgens v. discolor?	caudata
208#208	AECHMEA	Fire Up	Smythe, R.*	?	fulgens v. discolor?	'Forest Fire'
209#209	AECHMEA	Fireflies	Tristram, P.	?	manzanaresiana 'Red'	flavorosea
210#210	AECHMEA	Fireman Sam	Butcher D*	1990	manzanaresiana 'Red'	flavorosea
211#211	AECHMEA	Fireworks	Stonor, B.	<1991	cylindrata	caudata
9634#9634	AECHMEA	First Joy	K Jacobsson	2006	Covata Too	orlandiana
13086#13086	AECHMEA	Flame	?	<2000	?	?
11190#11190	AECHMEA	Flaming Asteroids	Skotak C, Beach E *	1994	cucullata (red form)	fasciata (red foliage) x fasciata (spineless)
213#213	AECHMEA	Flaming Fire	Stansfield, G.	?	cucullata (red form)	'A l'Orange'
214#214	AECHMEA	Flaming Star	Butcher*	<1996	recurvata?	?
217#217	AECHMEA	Flan	Hummel	<1976	recurvata?	?
14148#14148	AECHMEA	Flavi-vittata	? / Butcher Derek*	circa ?	recurvata?	?
13999#13999	AECHMEA	Flavomarginata	? / Butcher D*	?	recurvata?	?
218#218	AECHMEA	Forest Fire	Berg, W.	1989	recurvata?	blanchetiana
219#219	AECHMEA	Forest Flame	Smythe, R.*	?	'Forest Fire'	?
13889#13889	AECHMEA	Forget Me Not	? / Butcher D *	1935	'Forest Fire'	?
222#222	AECHMEA	Foster's Favorite Favorite	Foster, M.B.	1951	'Forest Fire'	?
223#223	AECHMEA	Foster's Freckles	Foster	1961	fendleri	orlandiana
220#220	AECHMEA	Foster's Chant	Goode, G.	1974	chantinii	fosteriana
221#221	AECHMEA	Foster's Favorite	Foster, M.B.	1946	racinae	victoriana v. discolor
224#224	AECHMEA	Francis	European	<1973	fulgens v. discolor	chantinii
225#225	AECHMEA	Frase	?	?	fulgens v. discolor	chantinii
10309#10309	AECHMEA	Freca Rosea	Davis T	<1988	fulgens v. discolor	?
226#226	AECHMEA	Freckles	n/a	?	organensis	?
227#227	AECHMEA	Fredricka	Corn. Bak	<1991	organensis	?
228#228	AECHMEA	Friederike	Pieper (Corn. Bak)	<1984	chantinii	fasciata
229#229	AECHMEA	Frost	Skotak, C.	1990's	chantinii	fasciata
230#230	AECHMEA	Frosty	Carrone, J.	1961	chantinii	chantinii (Carrone #15)
12872#12872	AECHMEA	Frosty The Snowman	Vinzant L	circa 1998	nudicaulis var. aequalis	Silver Streak Nudicaulis
10589#10589	AECHMEA	Fulgens / Miniata Group			nudicaulis var. aequalis	Silver Streak Nudicaulis
231#231	AECHMEA	Fulgida	Dutrie	<1939	nudicaulis var. aequalis	fulgens
232#232	AECHMEA	Fulgo-Chantinii	Dutrie	1938	fulgens v. discolor	chantinii
233#233	AECHMEA	Fulgo-Fasciata	Dutrie	1938	fulgens v. discolor	fasciata
234#234	AECHMEA	Fulgo-Lamarchei	Dutrie	1938	fulgens v. discolor	lamarchei
235#235	AECHMEA	Fulgo-Ramosa	Dutrie, Louis	1938	fulgens v. discolor	ramosa
10455#10455	AECHMEA	Gabriela Blanca	Asmuss M*	?	fulgens v. discolor	ramosa
236#236	AECHMEA	Gaiters	Butcher*	<1997	caudata?	caesia?
237#237	AECHMEA	Galaxy	Bullis*	?	caudata?	caesia?
10671#10671	AECHMEA	Gamosepala Group			caudata?	caesia?
238#238	AECHMEA	Gemma	Hummel	<1968	recurvata	calyculata
10730#10730	AECHMEA	Genetic Pollution	Underhill C	?	racinae var. tubiformis	warasii ?
239#239	AECHMEA	Ghost	DeLeon?	<1998	racinae var. tubiformis	warasii ?
240#240	AECHMEA	Gigant	Hummel	<1971	racinae var. tubiformis	warasii ?
241#241	AECHMEA	Ginger	Butcher*	<1983	racinae var. tubiformis	warasii ?
242#242	AECHMEA	Gloria	Hummel	<1971	racinae var. tubiformis	warasii ?
16298#16298	AECHMEA	Glow Bright	Shaw, Ken /  Vic Przetocki*	1987	recurvata var. benrathii	?
